Animal,group,Experiment,cluster,bout_duration
68.1,Control,1,Climbing,0.8839285714285714
68.1,Control,1,Freezing,0.8161157024793388
68.1,Control,1,Jump,0.275
68.1,Control,1,Locomotion,0.3951612903225806
68.1,Control,1,Sniffing,0.5555555555555556
68.1,Control,1,Turn,1.1726190476190477
69.1,ELS,1,Climbing,1.5625
69.1,ELS,1,Freezing,0.8142857142857143
69.1,ELS,1,Jump,0.5681818181818182
69.1,ELS,1,Locomotion,0.478494623655914
69.1,ELS,1,Sniffing,0.7647058823529411
69.1,ELS,1,Turn,1.4109042553191489
69.2,ELS,1,Climbing,1.0113636363636365
69.2,ELS,1,Freezing,0.7794117647058824
69.2,ELS,1,Grooming,0.25
69.2,ELS,1,Jump,0.5833333333333334
69.2,ELS,1,Locomotion,0.5233812949640287
69.2,ELS,1,Sniffing,0.3
69.2,ELS,1,Turn,1.3136094674556213
69.3,ELS,1,Climbing,0.8055555555555556
69.3,ELS,1,Freezing,0.75
69.3,ELS,1,Grooming,0.25
69.3,ELS,1,Jump,0.6944444444444444
69.3,ELS,1,Locomotion,0.4401041666666667
69.3,ELS,1,Sniffing,1.1944444444444444
69.3,ELS,1,Turn,1.5400552486187846
69.5,ELS,1,Climbing,1.0795454545454546
69.5,ELS,1,Freezing,1.0092592592592593
69.5,ELS,1,Grooming,0.25
69.5,ELS,1,Jump,0.2727272727272727
69.5,ELS,1,Locomotion,0.4971590909090909
69.5,ELS,1,Sniffing,0.8928571428571429
69.5,ELS,1,Turn,1.411764705882353
73.1,ELS,1,Climbing,0.984375
73.1,ELS,1,Freezing,0.9090909090909091
73.1,ELS,1,Jump,0.375
73.1,ELS,1,Locomotion,0.3902439024390244
73.1,ELS,1,Sniffing,2.1875
73.1,ELS,1,Turn,1.7598039215686274
73.4,ELS,1,Climbing,1.1379310344827587
73.4,ELS,1,Freezing,0.9506578947368421
73.4,ELS,1,Grooming,0.25
73.4,ELS,1,Jump,0.8
73.4,ELS,1,Locomotion,0.4
73.4,ELS,1,Sniffing,2.3448275862068964
73.4,ELS,1,Turn,1.6266233766233766
74.1,Control,1,Climbing,0.9125
74.1,Control,1,Freezing,0.7125984251968503
74.1,Control,1,Jump,0.6071428571428571
74.1,Control,1,Locomotion,0.39814814814814814
74.1,Control,1,Sniffing,2.3068181818181817
74.1,Control,1,Turn,1.4581081081081082
75.1,ELS,1,Climbing,1.0129310344827587
75.1,ELS,1,Freezing,0.6956521739130435
75.1,ELS,1,Grooming,0.25
75.1,ELS,1,Jump,0.3076923076923077
75.1,ELS,1,Locomotion,0.4251968503937008
75.1,ELS,1,Sniffing,1.7678571428571428
75.1,ELS,1,Turn,1.145
80.3,Control,1,Climbing,0.98
80.3,Control,1,Freezing,0.6064814814814815
80.3,Control,1,Jump,0.65625
80.3,Control,1,Locomotion,0.4166666666666667
80.3,Control,1,Sniffing,2.0
80.3,Control,1,Turn,2.0136054421768708
88.2,ELS,1,Climbing,0.953125
88.2,ELS,1,Freezing,0.7348484848484849
88.2,ELS,1,Jump,0.4
88.2,ELS,1,Locomotion,0.42916666666666664
88.2,ELS,1,Sniffing,1.1375
88.2,ELS,1,Turn,1.258974358974359
88.3,ELS,1,Climbing,0.8557692307692307
88.3,ELS,1,Freezing,0.8397435897435898
88.3,ELS,1,Grooming,0.25
88.3,ELS,1,Jump,0.5227272727272727
88.3,ELS,1,Locomotion,0.4834905660377358
88.3,ELS,1,Sniffing,0.8928571428571429
88.3,ELS,1,Turn,1.416256157635468
