section,parameter,coef,se,z,p_value,ci_low,ci_high
Groom - Combined full dataset,Intercept,0.05666375767990023,0.025300914459099363,2.2395932673303576,0.025117340204509984,0.007074876564136773,0.10625263879566368
Groom - Combined full dataset,Control - ELS vulnerable,0.012883085699846107,0.03205897450620613,0.40185582659083924,0.6877901337425887,-0.049951349713605674,0.07571752111329788
Groom - Combined full dataset,ELS resilient - ELS vulnerable,0.05207276503002925,0.04542297131920799,1.14639715363599,0.25163085990754797,-0.03695462282641425,0.14110015288647276
Groom - Combined full dataset,Sanguino-Gomez et al. - Sanguino-Gomez & Krugers,-0.050991563938377456,0.018004240811383226,-2.8321973957456685,0.004622929992842148,-0.08627922749767478,-0.015703900379080135
Groom - Combined full dataset,Time (per minute),0.003546798029556599,0.005611765494858394,0.6320289101186145,0.5273679863455945,-0.007452060230050448,0.014545656289163645
Groom - Combined full dataset,Control - ELS vulnerable x time (per minute),-0.005219271897152436,0.007332576557523771,-0.7117923496887425,0.47659337077717223,-0.01959085786378172,0.009152314069476848
Groom - Combined full dataset,ELS resilient - ELS vulnerable x time (per minute),-0.01378489326765184,0.010372915014355966,-1.3289314766942313,0.1838705779626142,-0.03411543311048431,0.006545646575180634
Groom - Combined full dataset,ELS resilient - Control,0.03918967933018314,0.043396661443155925,0.9030574709420126,0.3664953939912454,-0.045866214147680474,0.12424557280804677
Groom - Combined full dataset,ELS resilient - Control x time (per minute),-0.008565621370499403,0.009918680402575335,-0.8635847736635796,0.3878160315311243,-0.028005877733710306,0.0108746349927115
Groom - Sanguino-Gomez & Krugers,Intercept,0.05251461988304027,0.037367294800907995,1.4053631701956708,0.1599133126791633,-0.020723932126430207,0.12575317189251076
Groom - Sanguino-Gomez & Krugers,Control - ELS vulnerable,0.015618713450293198,0.049573318514084,0.3150628991249769,0.752713897207068,-0.08154320543144411,0.1127806323320305
