animal_id,group,experiment,cluster,frequency_seconds
161.3,Control,3,Sniff,14.120000000000001
161.3,Control,3,Turn,221.68
2.4,ELS,1,Climb,8.36
2.4,ELS,1,Freeze,93.51999999999998
2.4,ELS,1,Groom,1.4400000000000004
2.4,ELS,1,Jump,2.96
2.4,ELS,1,Locomotion,7.600000000000001
2.4,ELS,1,Sniff,10.28
2.4,ELS,1,Turn,194.76
23.4,ELS,1,Climb,12.76
23.4,ELS,1,Freeze,66.48
23.4,ELS,1,Groom,0.32000000000000006
23.4,ELS,1,Jump,1.8800000000000001
23.4,ELS,1,Locomotion,27.520000000000003
23.4,ELS,1,Sniff,6.799999999999999
23.4,ELS,1,Turn,218.99999999999997
25.1,ELS,1,Freeze,63.83999999999999
25.1,ELS,1,Groom,0.23999999999999996
25.1,ELS,1,Jump,3.7200000000000006
25.1,ELS,1,Locomotion,13.719999999999999
25.1,ELS,1,Sniff,7.959999999999999
25.1,ELS,1,Turn,240.8
26.4,ELS,1,Climb,10.68
26.4,ELS,1,Freeze,128.44
26.4,ELS,1,Jump,2.0
26.4,ELS,1,Locomotion,18.28
26.4,ELS,1,Sniff,3.4000000000000004
26.4,ELS,1,Turn,212.35999999999999
32.2,ELS,1,Climb,17.160000000000004
32.2,ELS,1,Freeze,48.959999999999994
32.2,ELS,1,Groom,2.48
32.2,ELS,1,Jump,6.360000000000001
32.2,ELS,1,Locomotion,9.2
32.2,ELS,1,Sniff,20.64
32.2,ELS,1,Turn,233.28
32.4,ELS,1,Climb,7.199999999999999
32.4,ELS,1,Freeze,46.959999999999994
32.4,ELS,1,Groom,0.8400000000000001
32.4,ELS,1,Jump,2.88
32.4,ELS,1,Locomotion,7.400000000000001
32.4,ELS,1,Sniff,5.5600000000000005
32.4,ELS,1,Turn,229.32
34.4,Control,1,Climb,27.559999999999995
34.4,Control,1,Freeze,33.24
34.4,Control,1,Groom,0.15999999999999998
34.4,Control,1,Jump,2.88
34.4,Control,1,Locomotion,43.800000000000004
34.4,Control,1,Sniff,8.719999999999999
34.4,Control,1,Turn,231.92000000000004
34.5,Control,1,Climb,24.44
34.5,Control,1,Freeze,63.639999999999986
34.5,Control,1,Groom,0.039999999999999994
34.5,Control,1,Jump,5.840000000000001
